Month	Day	Rain
01	01	1.0
01	02	1.2
01	03	1.5
01	04	1.1
01	05	1.0
01	06	0.8
01	07	1.2
01	08	3.9
01	09	1.4
01	10	1.3
01	11	1.0
01	12	1.2
01	13	1.3
01	14	1.0
01	15	0.8
01	16	1.0
01	17	1.3
01	18	1.1
01	19	1.1
01	20	1.0
01	21	1.1
01	22	1.0
01	23	1.2
01	24	1.0
01	25	0.9
01	26	1.1
01	27	1.0
01	28	0.6
01	29	1.3
01	30	1.3
01	31	1.4
02	01	1.1
02	02	1.2
02	03	1.0
02	04	0.9
02	05	0.9
02	06	1.0
02	07	1.0
02	08	1.1
02	09	1.0
02	10	0.7
02	11	0.7
02	12	0.8
02	13	1.0
02	14	1.2
02	15	1.1
02	16	1.6
02	17	1.6
02	18	1.5
02	19	1.0
02	20	1.3
02	21	1.4
02	22	1.6
02	23	1.2
02	24	1.4
02	25	1.3
02	26	1.6
02	27	1.3
02	28	1.1
03	01	1.2
03	02	1.5
03	03	1.3
03	04	1.0
03	05	1.4
03	06	1.5
03	07	1.6
03	08	1.5
03	09	1.1
03	10	1.0
03	11	1.5
03	12	1.2
03	13	1.0
03	14	1.2
03	15	1.4
03	16	1.7
03	17	1.6
03	18	1.4
03	19	1.5
03	20	1.8
03	21	1.9
03	22	1.9
03	23	2.4
03	24	2.2
03	25	2.3
03	26	2.5
03	27	2.5
03	28	1.9
03	29	2.2
03	30	2.5
03	31	2.9
04	01	2.8
04	02	2.1
04	03	1.9
04	04	2.5
04	05	2.0
04	06	2.2
04	07	2.4
04	08	2.0
04	09	2.4
04	10	2.4
04	11	2.0
04	12	2.6
04	13	2.3
04	14	1.8
04	15	1.9
04	16	2.3
04	17	2.4
04	18	2.6
04	19	2.3
04	20	2.9
04	21	2.9
04	22	2.7
04	23	3.8
04	24	3.9
04	25	2.7
04	26	2.4
04	27	2.6
04	28	3.2
04	29	2.5
04	30	3.4
05	01	3.4
05	02	3.3
05	03	3.7
05	04	3.3
05	05	3.1
05	06	3.7
05	07	3.5
05	08	4.1
05	09	3.2
05	10	3.6
05	11	3.6
05	12	3.7
05	13	3.7
05	14	3.9
05	15	4.4
05	16	3.8
05	17	4.5
05	18	4.1
05	19	3.9
05	20	4.8
05	21	4.9
05	22	4.1
05	23	4.9
05	24	4.5
05	25	4.9
05	26	4.8
05	27	5.0
05	28	4.9
05	29	5.0
05	30	5.5
05	31	5.1
06	01	5.6
06	02	4.8
06	03	4.7
06	04	5.6
06	05	6.0
06	06	6.2
06	07	5.8
06	08	6.1
06	09	7.0
06	10	6.6
06	11	7.2
06	12	6.4
06	13	5.9
06	14	6.4
06	15	7.0
06	16	7.4
06	17	6.6
06	18	7.1
06	19	7.1
06	20	7.0
06	21	7.2
06	22	6.9
06	23	7.4
06	24	8.0
06	25	7.7
06	26	8.9
06	27	7.7
06	28	8.6
06	29	9.5
06	30	8.9
07	01	8.1
07	02	8.7
07	03	9.7
07	04	9.1
07	05	8.4
07	06	8.6
07	07	8.9
07	08	9.2
07	09	9.1
07	10	8.8
07	11	7.2
07	12	8.0
07	13	8.3
07	14	9.0
07	15	9.3
07	16	8.5
07	17	8.7
07	18	9.7
07	19	8.4
07	20	8.6
07	21	9.6
07	22	9.1
07	23	7.4
07	24	8.6
07	25	8.2
07	26	6.8
07	27	7.9
07	28	8.3
07	29	7.7
07	30	7.6
07	31	9.4
08	01	8.2
08	02	7.4
08	03	7.6
08	04	7.7
08	05	7.2
08	06	7.6
08	07	8.7
08	08	8.7
08	09	7.8
08	10	7.8
08	11	8.4
08	12	7.8
08	13	7.3
08	14	7.5
08	15	7.6
08	16	9.0
08	17	7.7
08	18	7.8
08	19	7.7
08	20	7.0
08	21	6.7
08	22	6.3
08	23	8.1
08	24	16.0
08	25	6.9
08	26	6.7
08	27	7.5
08	28	7.0
08	29	6.8
08	30	6.2
08	31	5.9
09	01	6.6
09	02	6.7
09	03	5.6
09	04	6.3
09	05	5.8
09	06	5.4
09	07	6.2
09	08	6.8
09	09	6.9
09	10	6.0
09	11	8.2
09	12	13.8
09	13	5.0
09	14	4.4
09	15	5.1
09	16	6.3
09	17	6.9
09	18	6.8
09	19	6.1
09	20	4.5
09	21	4.4
09	22	4.5
09	23	4.5
09	24	4.6
09	25	5.8
09	26	4.6
09	27	4.5
09	28	3.7
09	29	3.4
09	30	4.1
10	01	4.0
10	02	4.5
10	03	4.6
10	04	4.1
10	05	3.4
10	06	3.7
10	07	3.8
10	08	4.1
10	09	4.0
10	10	3.7
10	11	3.6
10	12	3.8
10	13	3.0
10	14	3.0
10	15	2.9
10	16	3.0
10	17	2.5
10	18	3.0
10	19	2.6
10	20	2.5
10	21	2.9
10	22	3.1
10	23	2.7
10	24	2.5
10	25	2.9
10	26	3.1
10	27	2.9
10	28	2.9
10	29	2.6
10	30	2.8
10	31	3.1
11	01	2.7
11	02	2.1
11	03	1.9
11	04	1.8
11	05	1.8
11	06	1.9
11	07	1.6
11	08	1.4
11	09	1.4
11	10	1.2
11	11	1.6
11	12	1.6
11	13	1.8
11	14	1.3
11	15	1.6
11	16	1.5
11	17	1.7
11	18	1.7
11	19	1.9
11	20	1.4
11	21	1.0
11	22	1.0
11	23	1.2
11	24	1.1
11	25	1.6
11	26	1.5
11	27	0.9
11	28	1.1
11	29	1.2
11	30	1.0
12	01	1.1
12	02	1.0
12	03	1.1
12	04	1.2
12	05	0.8
12	06	0.8
12	07	1.0
12	08	0.7
12	09	1.0
12	10	1.0
12	11	1.4
12	12	0.7
12	13	0.9
12	14	1.5
12	15	1.1
12	16	0.7
12	17	0.8
12	18	1.1
12	19	0.9
12	20	0.9
12	21	0.6
12	22	0.6
12	23	0.6
12	24	0.7
12	25	7.7
12	26	1.2
12	27	1.1
12	28	1.0
12	29	0.9
12	30	0.6
12	31	0.8
02	29	1.3
