Month	Day	Rain
01	05	1.2
01	06	1.2
01	07	1.1
01	08	1.6
01	09	1.6
01	10	1.7
01	11	1.7
01	12	1.8
01	13	1.3
01	14	1.2
01	15	1.1
01	16	1.0
01	17	1.1
01	18	1.0
01	19	1.0
01	20	1.1
01	21	1.1
01	22	1.1
01	23	1.0
01	24	1.1
01	25	1.0
01	26	1.0
01	27	1.0
01	28	1.0
01	29	1.0
01	30	1.1
01	31	1.1
02	01	1.1
02	02	1.2
02	03	1.2
02	04	1.1
02	05	1.0
02	06	1.0
02	07	1.0
02	08	1.0
02	09	1.0
02	10	1.0
02	11	0.9
02	12	0.9
02	13	0.9
02	14	0.9
02	15	1.0
02	16	1.1
02	17	1.3
02	18	1.4
02	19	1.4
02	20	1.4
02	21	1.4
02	22	1.4
02	23	1.3
02	24	1.4
02	25	1.4
02	26	1.4
02	27	1.4
02	28	1.4
02	29	1.3
03	01	1.3
03	02	1.3
03	03	1.3
03	04	1.3
03	05	1.3
03	06	1.3
03	07	1.4
03	08	1.4
03	09	1.4
03	10	1.4
03	11	1.3
03	12	1.3
03	13	1.2
03	14	1.1
03	15	1.2
03	16	1.3
03	17	1.3
03	18	1.4
03	19	1.5
03	20	1.6
03	21	1.6
03	22	1.7
03	23	1.9
03	24	2.0
03	25	2.1
03	26	2.2
03	27	2.4
03	28	2.3
03	29	2.3
03	30	2.4
03	31	2.4
04	01	2.5
04	02	2.5
04	03	2.4
04	04	2.4
04	05	2.3
04	06	2.2
04	07	2.2
04	08	2.2
04	09	2.2
04	10	2.3
04	11	2.2
04	12	2.2
04	13	2.3
04	14	2.2
04	15	2.1
04	16	2.2
04	17	2.2
04	18	2.2
04	19	2.3
04	20	2.5
04	21	2.6
04	22	2.7
04	23	2.9
04	24	3.2
04	25	3.2
04	26	3.1
04	27	3.1
04	28	3.0
04	29	2.8
04	30	2.8
05	01	3.0
05	02	3.1
05	03	3.2
05	04	3.3
05	05	3.4
05	06	3.4
05	07	3.5
05	08	3.5
05	09	3.6
05	10	3.6
05	11	3.7
05	12	3.6
05	13	3.6
05	14	3.6
05	15	3.8
05	16	3.8
05	17	4.0
05	18	4.1
05	19	4.1
05	20	4.2
05	21	4.4
05	22	4.4
05	23	4.5
05	24	4.6
05	25	4.6
05	26	4.6
05	27	4.7
05	28	4.8
05	29	4.8
05	30	5.0
05	31	5.1
06	01	5.2
06	02	5.2
06	03	5.2
06	04	5.2
06	05	5.3
06	06	5.5
06	07	5.6
06	08	5.8
06	09	6.1
06	10	6.3
06	11	6.4
06	12	6.7
06	13	6.6
06	14	6.6
06	15	6.6
06	16	6.6
06	17	6.6
06	18	6.9
06	19	7.0
06	20	7.1
06	21	7.1
06	22	7.1
06	23	7.1
06	24	7.3
06	25	7.4
06	26	7.6
06	27	7.9
06	28	8.1
06	29	8.3
06	30	8.6
07	01	8.6
07	02	8.7
07	03	8.9
07	04	9.0
07	05	8.8
07	06	8.9
07	07	8.9
07	08	8.9
07	09	8.9
07	10	9.0
07	11	8.8
07	12	8.5
07	13	8.3
07	14	8.3
07	15	8.3
07	16	8.5
07	17	8.7
07	18	8.9
07	19	8.9
07	20	8.8
07	21	8.9
07	22	9.1
07	23	8.8
07	24	8.6
07	25	8.7
07	26	8.3
07	27	7.9
07	28	7.9
07	29	7.9
07	30	7.6
07	31	8.0
08	01	8.2
08	02	8.1
08	03	8.0
08	04	8.0
08	05	7.7
08	06	7.5
08	07	7.7
08	08	7.9
08	09	8.1
08	10	8.0
08	11	8.3
08	12	8.2
08	13	8.0
08	14	7.8
08	15	7.8
08	16	7.7
08	17	7.8
08	18	7.8
08	19	7.9
08	20	7.9
08	21	7.6
08	22	7.2
08	23	7.0
08	24	8.7
08	25	8.6
08	26	8.6
08	27	8.8
08	28	8.9
08	29	7.0
08	30	6.9
08	31	6.7
09	01	6.6
09	02	6.5
09	03	6.3
09	04	6.2
09	05	6.2
09	06	6.0
09	07	5.8
09	08	6.0
09	09	6.1
09	10	6.3
09	11	6.3
09	12	8.3
09	13	8.0
09	14	7.6
09	15	7.2
09	16	7.2
09	17	5.5
09	18	5.8
09	19	6.1
09	20	6.2
09	21	5.9
09	22	5.4
09	23	5.0
09	24	4.6
09	25	4.7
09	26	4.8
09	27	4.8
09	28	4.7
09	29	4.5
09	30	4.2
10	01	4.0
10	02	3.9
10	03	4.1
10	04	4.2
10	05	4.2
10	06	4.0
10	07	3.9
10	08	3.8
10	09	3.8
10	10	3.8
10	11	3.9
10	12	3.9
10	13	3.7
10	14	3.5
10	15	3.3
10	16	3.2
10	17	3.0
10	18	2.9
10	19	2.8
10	20	2.7
10	21	2.7
10	22	2.8
10	23	2.7
10	24	2.7
10	25	2.8
10	26	2.9
10	27	2.8
10	28	2.9
10	29	2.9
10	30	2.8
10	31	2.8
11	01	2.8
11	02	2.7
11	03	2.6
11	04	2.4
11	05	2.2
11	06	1.9
11	07	1.8
11	08	1.7
11	09	1.6
11	10	1.5
11	11	1.5
11	12	1.4
11	13	1.5
11	14	1.5
11	15	1.5
11	16	1.5
11	17	1.6
11	18	1.5
11	19	1.6
11	20	1.6
11	21	1.6
11	22	1.4
11	23	1.3
11	24	1.2
11	25	1.2
11	26	1.3
11	27	1.3
11	28	1.2
11	29	1.3
11	30	1.2
12	01	1.1
12	02	1.1
12	03	1.1
12	04	1.1
12	05	1.1
12	06	1.0
12	07	1.0
12	08	1.0
12	09	0.9
12	10	0.9
12	11	1.0
12	12	1.0
12	13	1.0
12	14	1.1
12	15	1.1
12	16	1.0
12	17	1.0
12	18	1.0
12	19	1.0
12	20	0.9
12	21	0.9
12	22	0.8
12	23	0.8
12	24	0.7
12	25	0.7
12	26	0.8
12	27	0.9
12	28	1.0
12	29	1.1
12	30	1.0
12	31	0.9
